,title,awards.wins,imdb.rating,id
0,Miss Lulu Bett,1,7.2,1
1,The Italian,1,6.4,2
2,Blacksmith Scene,1,6.2,3
3,High and Dizzy,0,7.0,4
4,From Hand to Mouth,0,7.0,5
5,The Cheat,1,6.5,6
6,Les vampires,0,6.8,7
7,Hell's Hinges,1,6.4,8
8,One Week,1,8.3,9
9,Peter Pan,1,7.4,10
10,Sherlock Jr.,1,8.3,11
11,Battleship Potemkin,1,8.0,12
12,The Wedding March,1,7.5,13
13,Romance,3,6.0,14
14,Earth,1,7.5,15
15,M,2,8.4,16
16,Dr. Jekyll and Mr. Hyde,3,7.7,17
17,The Thief of Bagdad,2,7.9,18
18,The Lost World,1,7.1,19
19,7th Heaven,6,7.8,20
20,The Divorcee,0,6.9,21
21,King of Jazz,2,7.5,22
22,Westfront 1918,1,7.5,23
23,Comradeship,1,7.6,24
24,Broken Lullaby,0,7.6,25
25,A Woman of Paris: A Drama of Fate,1,7.1,26
26,The Freshman,1,7.6,27
27,Go West,0,7.3,28
28,Asphalt,1,7.6,29
29,Disraeli,2,6.5,30
30,Under the Roofs of Paris,1,7.4,31
31,Dracula,2,7.6,32
32,The Blue Bird,1,6.6,33
33,The Kid,1,8.4,34
34,Now or Never,0,6.8,35
35,Nosferatu,1,8.0,36
36,The Big Parade,3,8.3,37
37,Lady Windermere's Fan,1,7.6,38
38,Seven Chances,1,8.0,39
39,Flesh and the Devil,1,8.1,40
40,Storm Over Asia,1,7.4,41
41,City Lights,3,8.6,42
42,Dishonored,1,7.3,43
43,In the Land of the Head Hunters,1,5.8,44
44,Traffic in Souls,1,6.0,45
45,The Cameraman,1,8.3,46
46,The 3 Penny Opera,1,7.4,47
47,He Who Gets Slapped,1,7.8,48
48,Ben-Hur: A Tale of the Christ,1,8.1,49
49,Metropolis,3,8.3,50
50,The Kid Brother,0,7.6,51
51,A Free Soul,0,6.7,52
52,L'opèra de quat'sous,1,7.0,53
53,The Land Beyond the Sunset,1,7.1,54
54,The Last of the Mohicans,1,6.9,55
55,Wild and Woolly,1,6.9,56
56,Cops,1,7.8,57
57,Foolish Wives,1,7.3,58
58,White Shadows,1,6.5,59
59,The Circus,1,8.1,60
60,Applause,1,7.3,61
61,The Broadway Melody,0,6.4,62
62,Forbidden,0,7.0,63
63,Tol'able David,2,8.1,64
64,Our Hospitality,0,7.9,65
65,Three Ages,0,7.2,66
66,The Iron Horse,1,7.3,67
67,The Navigator,0,8.1,68
68,Beau Geste,1,6.9,69
69,The Crowd,3,7.9,70
70,Steamboat Bill Jr.,0,8.0,71
71,Man with a Movie Camera,1,8.4,72
72,The Perils of Pauline,1,7.6,73
73,The Saphead,0,6.2,74
74,The Gold Rush,5,8.3,75
75,The Phantom of the Opera,2,7.7,76
76,The Strong Man,1,6.8,77
77,The Jazz Singer,3,6.9,78
78,Steamboat Willie,1,7.7,79
79,In Old Arizona,0,5.8,80
80,Mèdchen in Uniform,3,7.8,81
81,Nanook of the North,1,7.8,82
82,Civilization,1,6.3,83
83,Napoleon,3,7.4,84
84,Laugh Clown Laugh,0,7.8,85
85,Street Angel,0,7.5,86
86,A Farewell to Arms,3,6.6,87
87,Regeneration,1,6.8,88
88,Broken Blossoms or The Yellow Man and the Girl,1,7.7,89
89,Salomè,1,6.6,90
90,Wings,5,7.8,91
91,The Wind,1,8.4,92
92,Hallelujah,2,7.0,93
93,Queen Kelly,1,7.9,94
94,The Devil to Pay!,0,6.7,95
96,The Champ,0,7.3,96
97,The Front Page,5,6.9,97
98,I Am a Fugitive from a Chain Gang,6,8.1,98
99,The Great Train Robbery,1,7.4,99
100,Greed,1,7.9,100
101,Pandora's Box,0,8.0,101
102,The Fall of the House of Usher,1,7.0,102
103,The Divine Lady,0,6.3,103
104,David Golder,0,6.7,104
105,The Blood of a Poet,1,7.5,105
106,Frankenstein,3,8.0,106
107,Winsor McCay the Famous Cartoonist of the N.Y. Herald and His Moving Comics,1,7.3,107
108,The Four Horsemen of the Apocalypse,1,7.9,108
109,Wild Oranges,1,7.1,109
110,Clash of the Wolves,1,6.7,110
111,For Heaven's Sake,0,7.6,111
112,The Son of the Sheik,1,7.5,112
113,The General,2,8.3,113
114,Lonesome,1,8.0,114
115,The Passion of Joan of Arc,1,8.4,115
116,The Big Trail,1,7.3,116
117,è Nous la Libertè,4,7.7,117
118,The Birth of a Nation,2,6.8,118
119,A Corner in Wheat,1,6.6,119
120,Gertie the Dinosaur,1,7.3,120
121,Intolerance: Love's Struggle Throughout the Ages,1,8.0,121
122,The Chechahcos,1,6.6,122
123,The Docks of New York,2,7.7,123
124,Cimarron,5,6.0,124
125,City Streets,1,7.3,125
126,The Guardsman,3,6.7,126
127,Freaks,1,8.0,127
128,Grand Hotel,2,7.6,128
129,The Poor Little Rich Girl,1,6.9,129
130,The Ace of Hearts,0,7.0,130
131,Battling Butler,0,7.2,131
132,College,0,7.2,132
133,Sunrise,5,8.4,133
134,Four Sons,1,7.0,134
135,The Last Command,2,8.0,135
136,All Quiet on the Western Front,7,8.1,136
137,Little Caesar,2,7.4,137
